Date,ID,Source,Content,Username,Location,Verified,Likes,Retweets,Place
2023-02-22 06:45:00+00:00,1.62828E+18,Twitter Media Studio,"बाइडेन ने पुतिन से कहा- यूक्रेन कभी नहीं जीत पाओगे: रूस की फौज बेरहम और वहशी; महिलाओं से रेप को हथियार की तरह इस्तेमाल किया
#Biden #RussiaUkraineWar
https://t.co/O2zwvBuybt https://t.co/RGN6BVithL",DainikBhaskar,India,TRUE,3,0,
2023-02-22 06:42:20+00:00,1.62828E+18,Twitter Media Studio - LiveCut,"अमेरिका की बढ़ती दखल अंदाजी से गुस्से में जिनपिंग

@RAVIMISHRA_TV  @karunashankar
#RussiaUkraineWar #America #JoeBiden #China https://t.co/1EbnZIb6wO",TV9Bharatvarsh,"Noida, India",TRUE,3,0,
2023-02-22 06:37:41+00:00,1.62828E+18,Twitter for Android,"Geez thanks America because of the FORCE POSTURE AGREEMENT Australia signed we are now at WAR with RUSSIA 

Wake up Australians. Because of this we are now a target to be nuked with no way of defending ourselves!

#auspol #australia #RussiaUkraineWar",neomortalgirl,"Mackay, Queensland",FALSE,0,0,
2023-02-22 06:37:10+00:00,1.62828E+18,Twitter for Android,"A warrior must only take care that his spirit is never broken.💯
God bless our warriors!!! 🙏🇷🇺
Good Morning Everyone ❤️
#StandWithRussia 
#UkraineRussianWar
#Putin
#RussiaUkraineWar
#Путин https://t.co/r05M05adv0",FreemanHabib1,United States,FALSE,0,0,
2023-02-22 06:35:57+00:00,1.62828E+18,Twitter Web App,"A #German study has found that the ongoing #Russia-#Ukraine war cost the world #economy a whopping $1.3 trillion in 2022.

#RussiaUkraineWar https://t.co/VXLgvKjDrz",ians_india,New Delhi,TRUE,0,0,
2023-02-22 06:33:26+00:00,1.62828E+18,Twitter for iPhone,My new post to mark the first anniversary of Russia's invasion of Ukraine. https://t.co/c274bt2Ysv #Ukraine #RussiaUkraine #RussiaUkraineWar #RussiaUkraineWar1Year,RLeighTurner,"London, England",TRUE,1,1,
2023-02-22 06:33:15+00:00,1.62828E+18,Twitter for iPhone,"The Armed Forces of Ukraine repulsed seven russian attacks during the last day, including one near Bakhmut.
#RussiaUkraineWar",EuromaidanPR,Ukraine,FALSE,49,10,
2023-02-22 06:31:00+00:00,1.62828E+18,Twitter Web App,"#OPINION | T.C.A. Raghavan writes on lessons from the Ukraine crisis
#RussiaUkraineWar #VladimirPutin #VolodymyrZelensky
Read on...
https://t.co/Rjsqc6Ctr3",ttindia,"Kolkata, India",TRUE,1,2,
2023-02-22 06:29:00+00:00,1.62828E+18,Twitter Web App,#RussiaUkraineWar @PLCROSSTALK https://t.co/mQtO1tlWvr,ArchiveBurning,"Melbourne, Australia",FALSE,0,0,
2023-02-22 06:28:09+00:00,1.62828E+18,Twitter for Android,"@disclosetv #RussiaUkraineWar = #GameOver 
Less escalation, more cease fire and diplomacy. https://t.co/WSDFfH31S2",HumanSupremest,Earth,FALSE,0,0,
2023-02-22 06:22:41+00:00,1.62828E+18,Twitter for Android,"भौ**डी वाले पुतिन और जीलेंसकी की बकचोदी में हमारे शेयर मार्केट की माँ बहन क्यों की जा रही है, हद है बकचोदी की ये साले खुद चैन से नही रहेंगे ना किसी को रहने देंगे। 
Traders be like hum koi mandir ka ghanta hai be jo aata hai bajata hai 
#RussiaUkraineWar #sharemarketindia #share",Savekashi1,"Varanasi, India",FALSE,0,0,
2023-02-22 06:22:27+00:00,1.62828E+18,Twitter for iPad,#Russland  #RussiaUkraineWar,Cathebia1,"Hamburg, Deutschland",FALSE,0,0,
2023-02-22 06:21:05+00:00,1.62828E+18,Twitter Media Studio - LiveCut,"यूक्रेन जंग के बीच जाएंगे शी जिनपिंग, पुतिन और जिनपिंग के बीच होगी अहम मुलाकात

@RAVIMISHRA_TV  @karunashankar
#RussiaUkraineWar #America #JoeBiden #China https://t.co/HoO53Igv13",TV9Bharatvarsh,"Noida, India",TRUE,11,1,
2023-02-22 06:18:50+00:00,1.62828E+18,Twitter for Android,#RussiaUkraineWar #UkraineRussiaWar #RussianEmbassy Yusof Ishak Institute 🤣,StupidSingapore,,FALSE,0,0,
2023-02-22 06:15:01+00:00,1.62828E+18,Twitter for iPhone,"russia’s losses in manpower - 620 soldiers on the Ukrainian soil for the last 24h.
Good morning.
#RussiaUkraineWar",EuromaidanPR,Ukraine,FALSE,48,13,
2023-02-22 06:13:22+00:00,1.62828E+18,Twitter for Android,"Xi Jinping to visit Moscow for summit with Putin: Report
https://t.co/NtOXNHNT6r

#XiJinping #China #Russia #Poutine #USA #Ukraine 
#RussiaUkraineWar 
#UkraineRussiaWar",enharbouchanews,worldwide,FALSE,0,0,
2023-02-22 06:11:00+00:00,1.62828E+18,Zoho Social,"Joe Biden pledged that ""Ukraine will never be a victory for Russia -- never."" 
#USPresident #RussiaUkraineWar #JoeBiden #VladimirPutin 
https://t.co/RUFbt40vOo",kalkineau,"Sydney, Australia",TRUE,0,0,
