Date,ID,Source,Content,Username,Location,Verified,Likes,Retweets,Place
2022-03-05 09:08:31+00:00,1.50E+18,Twitter for Android,"We want to live by affording more than three meals a day the same way you people in power are capable too through 
#lowerfoodprices
#Employment 
#NJAARevolution 
@RailaOdinga 
@StateHouseKenya",otobiasorao,"Nairobi,Kenya",FALSE,6,8,
2022-03-05 09:07:37+00:00,1.50E+18,Twitter for Android,"Life shouldn't be that hard to a people when they have a government that cares and concerned about their welfare,especially on matters of food security
#NJAARevolution
#lowerfoodprices",Article43Rights,,FALSE,7,7,
2022-03-05 09:03:41+00:00,1.50E+18,Twitter for Android,"To hell with the liberal lies of the modern 21st century and financial engineering of poverty! 
@RailaOdinga
@StateHouseKenya
#NJAARevolution 
#lowerfoodprices",otobiasorao,"Nairobi,Kenya",FALSE,9,7,
2022-03-05 09:03:05+00:00,1.50E+18,Twitter for Android,"Kenyans are starving to death because of  high prices of basic commodities. #lowerfoodprices
#NJAARevolution
@Nassemblyke
@uhaiwetu
@article19",MMahila,"Kayole Junction,Nairobi,Kenya",FALSE,7,8,
2022-03-05 09:00:52+00:00,1.50E+18,Twitter for Android,"The promise of handshake was never to put Kenyan people to harsh economic error that is perpetuated by individualism. 
#lowerfoodprices 
#NJAARevolution 
@RailaOdinga 
@StateHouseKenya 
@UhaiWetu",otobiasorao,"Nairobi,Kenya",FALSE,9,9,
2022-03-05 08:56:22+00:00,1.50E+18,Twitter for Android,"Kenyans are starving and our leaders who we have entrusted with power to rule on our behalf are acting inconsiderate by putting up with the lootings and hiking of essential household goods. 
@RailaOdinga 
@StateHouseKenya 
#NJAARevolution 
#lowerfoodprices",otobiasorao,"Nairobi,Kenya",FALSE,7,9,
2022-03-05 08:53:04+00:00,1.50E+18,Twitter for Android,#NJAARevolution hivi ndio mnataka tuwabembelezee haki zetu. Hatubembelezi tuna demand you should #lowerfoodprices https://t.co/KR0s6gbviv,Dominic5Musyoka,,FALSE,14,13,
2022-03-05 08:51:20+00:00,1.50E+18,Twitter for Android,"The Kenyan government and it's leadership should come out with their clear mind and discuss the issue of high essential commodity HICK in our country!
@RailaOdinga 
@UhaiWetu
@UNDPKenya
@WilliamsRuto 
@StateHouseKenya 
#NJAARevolution 
#lowerfoodprices",otobiasorao,"Nairobi,Kenya",FALSE,9,9,
2022-03-05 08:45:47+00:00,1.50E+18,Twitter for Android,"Kura tutapiga kama tumekula. Let there be a fair and affordable food prices in post covid-19 lockdown!!!
#NJAARevolution 
#lowerfoodprices 
@RailaOdinga 
@StateHouseKenya",otobiasorao,"Nairobi,Kenya",FALSE,7,7,
2022-03-05 08:25:39+00:00,1.50E+18,Twitter for iPhone,"@RailaTosha2022 Kenya kwanza , #lowerfoodprices",shillser,kenya,FALSE,0,0,
